now,cpu.total,cpu.system,cpu.idle,cpu.user,mem.percent
2024-06-25 17:49:18 +0100,0.3,0.2,99.7,0.1,5.2
2024-06-25 18:04:18 +0100,100.0,0.0,0.0,0.0,5.2
2024-06-25 18:19:18 +0100,0.3,0.2,99.7,0.1,5.2
2024-06-25 18:34:19 +0100,0.7,0.5,99.3,0.2,5.2
2024-06-25 18:49:18 +0100,0.7,0.5,99.3,0.2,5.2
2024-06-25 19:04:19 +0100,0.3,0.0,0.0,0.0,5.1
2024-06-25 19:19:18 +0100,100.0,0.0,0.0,0.0,5.1
2024-06-25 19:34:19 +0100,100.0,0.2,99.7,0.1,5.1
2024-06-25 19:49:18 +0100,100.0,0.0,0.0,0.0,5.1
2024-06-25 20:04:19 +0100,100.0,0.2,99.7,0.1,5.1
2024-06-25 20:19:18 +0100,0.8,0.6,99.2,0.2,5.1
2024-06-25 20:34:19 +0100,100.0,0.0,0.0,0.0,5.1
2024-06-25 20:49:18 +0100,0.3,0.2,99.7,0.1,5.1
2024-06-25 21:04:19 +0100,100.0,0.2,99.7,0.1,5.1
2024-06-25 21:19:19 +0100,0.3,0.0,0.0,0.0,5.1
2024-06-25 21:34:19 +0100,100.0,0.2,99.7,0.1,5.1
2024-06-25 21:49:19 +0100,100.0,0.2,99.6,0.2,5.1
2024-06-25 22:04:19 +0100,100.0,0.2,99.6,0.2,5.5
2024-06-25 22:19:19 +0100,0.6,0.3,99.4,0.3,5.5
2024-06-25 22:34:19 +0100,0.6,0.3,99.4,0.3,6.3
2024-06-25 22:49:19 +0100,100.0,0.0,0.0,0.0,6.3
2024-06-25 23:04:19 +0100,100.0,0.0,0.0,0.0,8.0
2024-06-25 23:19:19 +0100,0.5,0.0,0.0,0.0,8.0
2024-06-25 23:34:19 +0100,0.5,0.0,0.0,0.0,8.8
2024-06-25 23:49:19 +0100,0.5,0.0,0.0,0.0,8.8
2024-06-26 00:04:19 +0100,0.5,0.0,0.0,0.0,10.2
2024-06-26 00:19:19 +0100,0.5,0.0,0.0,0.0,10.2
2024-06-26 00:34:19 +0100,0.5,0.0,0.0,0.0,11.4
2024-06-26 00:49:19 +0100,8.9,8.4,91.2,0.4,11.4
2024-06-26 01:04:19 +0100,0.4,0.0,0.0,0.0,12.2
2024-06-26 01:19:19 +0100,0.4,0.0,0.0,0.0,12.2
2024-06-26 01:34:19 +0100,0.5,0.3,99.5,0.3,13.1
2024-06-26 01:49:19 +0100,100.0,0.2,99.5,0.3,13.1
2024-06-26 02:04:19 +0100,100.0,0.2,99.5,0.3,14.0
2024-06-26 02:19:19 +0100,0.5,0.2,99.5,0.2,14.0
2024-06-26 02:34:19 +0100,0.5,0.2,99.5,0.2,14.9
2024-06-26 02:49:19 +0100,100.0,0.0,0.0,0.0,14.9
2024-06-26 03:04:19 +0100,100.0,0.0,0.0,0.0,15.7
2024-06-26 03:19:19 +0100,100.0,0.2,99.5,0.2,15.7
2024-06-26 03:34:19 +0100,100.0,0.2,99.5,0.2,16.6
2024-06-26 03:49:19 +0100,0.5,0.0,0.0,0.0,16.6
2024-06-26 04:04:19 +0100,0.5,0.0,0.0,0.0,17.6
2024-06-26 04:19:19 +0100,100.0,0.3,99.4,0.3,17.6
2024-06-26 04:34:19 +0100,100.0,0.3,99.4,0.3,18.4
2024-06-26 04:49:19 +0100,100.0,0.2,99.5,0.2,18.4
2024-06-26 05:04:19 +0100,100.0,0.2,99.5,0.2,19.2
2024-06-26 05:19:19 +0100,0.5,0.0,0.0,0.0,19.2
2024-06-26 05:34:19 +0100,0.5,0.0,0.0,0.0,20.1
2024-06-26 05:49:19 +0100,0.5,0.2,99.5,0.2,20.1
2024-06-26 06:04:19 +0100,0.5,0.2,99.5,0.2,20.9
2024-06-26 06:19:19 +0100,100.0,0.0,0.0,0.0,20.9
2024-06-26 06:34:19 +0100,0.7,0.4,99.3,0.3,26.6
2024-06-26 06:49:19 +0100,0.7,0.4,99.3,0.3,26.6
2024-06-26 07:04:19 +0100,99.9,0.0,0.0,0.0,26.7
2024-06-26 07:19:19 +0100,100.0,0.1,54.1,0.1,26.7
2024-06-26 07:34:19 +0100,100.0,0.1,54.1,0.1,26.6
2024-06-26 07:49:19 +0100,0.5,0.2,99.5,0.2,26.6
2024-06-26 08:04:19 +0100,0.5,0.2,99.5,0.2,26.7
2024-06-26 08:19:19 +0100,100.0,0.3,99.4,0.4,26.7
2024-06-26 08:34:19 +0100,100.0,0.3,99.4,0.4,26.7
2024-06-26 08:49:19 +0100,0.5,0.0,0.0,0.0,26.7
2024-06-26 09:04:19 +0100,0.5,0.0,0.0,0.0,26.7
2024-06-26 09:19:19 +0100,100.0,0.2,99.5,0.2,26.7
2024-06-26 09:34:19 +0100,100.0,0.2,99.5,0.2,29.0
2024-06-26 09:49:19 +0100,1.6,1.3,98.3,0.3,29.0
2024-06-26 10:04:19 +0100,1.6,1.3,98.3,0.3,26.7
2024-06-26 10:19:19 +0100,100.0,0.0,0.0,0.0,26.7
2024-06-26 10:34:19 +0100,100.0,0.0,0.0,0.0,26.7
2024-06-26 10:49:19 +0100,0.5,0.0,0.0,0.0,26.7
2024-06-26 11:04:19 +0100,0.5,0.0,0.0,0.0,26.6
2024-06-26 11:19:19 +0100,100.0,0.0,0.0,0.0,26.6
2024-06-26 11:34:19 +0100,100.0,0.0,0.0,0.0,32.8
2024-06-26 11:49:19 +0100,1.4,0.9,98.6,0.5,32.8
2024-06-26 12:04:19 +0100,1.4,0.9,98.6,0.5,31.6
2024-06-26 12:19:19 +0100,100.0,0.0,0.0,0.0,31.6
2024-06-26 12:34:19 +0100,100.0,0.0,0.0,0.0,37.2
2024-06-26 12:49:19 +0100,100.0,0.3,99.5,0.2,37.2
2024-06-26 13:04:19 +0100,100.0,0.3,99.5,0.2,41.0
2024-06-26 13:19:19 +0100,0.5,0.0,0.0,0.0,41.0
2024-06-26 13:34:19 +0100,0.5,0.0,0.0,0.0,31.5
2024-06-26 13:49:19 +0100,0.5,0.3,99.5,0.2,31.5
2024-06-26 14:04:19 +0100,0.5,0.3,99.5,0.2,31.5
2024-06-26 14:19:19 +0100,0.5,0.0,0.0,0.0,31.5
2024-06-26 14:34:19 +0100,0.5,0.0,0.0,0.0,31.5
2024-06-26 14:49:19 +0100,0.5,0.0,0.0,0.0,31.5
2024-06-26 15:04:19 +0100,0.5,0.0,0.0,0.0,31.4
2024-06-26 15:19:19 +0100,100.0,0.3,99.5,0.3,31.4
2024-06-26 15:34:19 +0100,100.0,0.3,99.5,0.3,31.4
2024-06-26 15:49:19 +0100,99.9,0.2,99.5,0.2,31.4
2024-06-26 16:04:19 +0100,99.9,0.2,99.5,0.2,31.5
2024-06-26 16:19:19 +0100,100.0,0.2,99.5,0.2,31.5
2024-06-26 16:34:19 +0100,100.0,0.2,99.5,0.2,31.5
2024-06-26 16:49:19 +0100,100.0,0.3,99.4,0.3,31.5
2024-06-26 17:04:19 +0100,100.0,0.3,99.4,0.3,36.6
2024-06-26 17:19:19 +0100,1.0,0.0,0.0,0.0,36.6
2024-06-26 17:34:19 +0100,1.0,0.0,0.0,0.0,31.5
2024-06-26 17:49:19 +0100,0.5,0.3,99.5,0.3,31.5
2024-06-26 18:04:19 +0100,0.5,0.3,99.5,0.3,5.9
2024-06-26 18:19:19 +0100,100.0,0.0,0.0,0.0,5.9
2024-06-26 18:34:19 +0100,100.0,0.0,0.0,0.0,5.8
2024-06-26 18:49:19 +0100,0.7,0.5,99.3,0.3,5.8
2024-06-26 19:04:19 +0100,0.7,0.5,99.3,0.3,5.7
2024-06-26 19:19:19 +0100,0.5,0.0,0.0,0.0,5.7
2024-06-26 19:34:19 +0100,0.5,0.0,0.0,0.0,5.8
2024-06-26 19:49:19 +0100,100.0,0.0,0.0,0.0,5.8
2024-06-26 20:04:19 +0100,0.5,0.0,0.0,0.0,5.8
2024-06-26 20:19:19 +0100,0.5,0.0,0.0,0.0,5.8
