name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"London,UK",2024-08-16T09:00:00,18.9,18.9,14.7,76.6,0,25.8,,0,0,21.6,7.2,322.2,1013,49.9,24.1,97,0.3,1,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T10:00:00,20.1,20.1,13.5,65.77,0,25.8,,0,0,18.4,6.5,324.8,1013,25.9,24.1,201,0.7,2,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T11:00:00,21.4,21.4,12.3,56.13,0,25.8,,0,0,17.3,5.4,320.7,1013,19.1,24.1,372,1.3,4,10,Clear,clear-day,
"London,UK",2024-08-16T12:00:00,22.6,22.6,12.1,51.48,0,25.8,rain,0,0,14.4,4,291.9,1013,33.8,24.1,465,1.7,5,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T13:00:00,23.5,23.5,11.8,47.8,0,25.8,rain,0,0,13.3,4.3,268.2,1013,40.5,24.1,557,2,6,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T14:00:00,24.1,24.1,11,43.74,0,9.7,,0,0,15.6,5.5,265.5,1012.7,31,24.1,704,2.5,7,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T15:00:00,24.7,24.7,10.2,40.01,0,9.7,,0,0,17.9,6.7,262.7,1012.3,21.6,24.1,680,2.4,7,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T16:00:00,25.4,25.4,9.5,36.6,0,9.7,,0,0,20.2,7.9,260,1012,12.1,24.1,635,2.3,6,10,Clear,clear-day,
"London,UK",2024-08-16T17:00:00,25,25,9.5,37.58,0,9.7,,0,0,19.9,7.7,269.4,1011.7,19.6,24.1,508,1.8,5,10,Clear,clear-day,
"London,UK",2024-08-16T18:00:00,24.6,24.6,9.6,38.58,0,9.7,,0,0,19.7,7.4,278.9,1011.3,27,24.1,379,1.4,4,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T19:00:00,24.3,24.3,9.7,39.62,0,9.7,,0,0,19.4,7.2,288.3,1011,34.5,24.1,219,0.8,2,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T20:00:00,23,23,10.6,45.41,0,9.7,,0,0,15.6,5.6,279.5,1011.3,38.3,24.1,70,0.3,1,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-16T21:00:00,21.7,21.7,11.5,52.06,0,9.7,,0,0,11.8,4.1,270.7,1011.7,42,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-16T22:00:00,20.5,20.5,12.4,59.71,0,9.7,,0,0,7.9,2.5,261.9,1012,45.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-16T23:00:00,19.4,19.4,12.1,62.68,0,9.7,,0,0,9.1,3.5,263,1012,30.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-17T00:00:00,18.3,18.3,11.8,65.84,0,9.7,,0,0,10.3,4.4,264.2,1012,15.3,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-17T01:00:00,17.3,17.3,11.6,69.18,0,9.7,,0,0,11.5,5.4,265.3,1012,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-17T02:00:00,16.3,16.3,11.2,71.64,0,3.2,,0,0,12.1,5.4,269.8,1012.3,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-17T03:00:00,15.4,15.4,10.8,74.22,0,3.2,,0,0,12.7,5.4,274.4,1012.7,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-17T04:00:00,14.5,14.5,10.5,76.91,0,3.2,,0,0,13.3,5.4,278.9,1013,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-17T05:00:00,14,14,9.4,73.81,0,3.2,,0,0,12.4,5.2,276.2,1013,0,24.1,0,0,0,10,Clear,clear-night,
"London,UK",2024-08-17T06:00:00,13.6,13.6,8.4,70.81,0,3.2,,0,0,11.4,4.9,273.6,1013,0,24.1,0,0,0,10,Clear,clear-day,
"London,UK",2024-08-17T07:00:00,13.2,13.2,7.4,67.89,0,3.2,,0,0,10.4,4.7,270.9,1013,0,24.1,50,0.2,1,10,Clear,clear-day,
"London,UK",2024-08-17T08:00:00,14.8,14.8,7.7,62.6,0,0,,0,0,14,5.9,280,1013.3,0,24.1,194,0.7,2,10,Clear,clear-day,
"London,UK",2024-08-17T09:00:00,16.4,16.4,8,57.8,0,0,,0,0,17.6,7.1,289.1,1013.7,0,24.1,357,1.3,4,10,Clear,clear-day,
"London,UK",2024-08-17T10:00:00,18,18,8.4,53.43,0,0,,0,0,21.2,8.3,298.2,1014,0,24.1,512,1.8,5,10,Clear,clear-day,
"London,UK",2024-08-17T11:00:00,19.2,19.2,8.6,50.14,0,0,,0,0,23.8,9.4,294.2,1013.7,16.2,24.1,642,2.3,6,10,Clear,clear-day,
"London,UK",2024-08-17T12:00:00,20.4,20.4,8.8,47.08,0,0,,0,0,26.3,10.4,290.3,1013.3,32.5,24.1,736,2.6,7,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T13:00:00,21.7,21.7,9,44.24,0,0,,0,0,28.8,11.5,286.3,1013,48.7,24.1,787,2.8,8,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T14:00:00,22.1,22.1,8.7,42.32,0,3.2,,0,0,29.6,11.6,286.4,1013,57.4,24.1,791,2.8,8,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T15:00:00,22.6,22.6,8.5,40.49,0,3.2,,0,0,30.5,11.8,286.5,1013,66.2,24.1,746,2.7,7,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T16:00:00,23.1,23.1,8.3,38.75,0,3.2,,0,0,31.3,11.9,286.6,1013,74.9,24.1,658,2.4,7,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T17:00:00,22.7,22.7,8.4,39.81,0,3.2,,0,0,30.6,11.6,286.8,1012.7,68,24.1,531,1.9,5,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T18:00:00,22.4,22.4,8.4,40.9,0,3.2,,0,0,29.9,11.4,286.9,1012.3,61,24.1,380,1.4,4,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T19:00:00,22.1,22.1,8.6,42.02,0,3.2,,0,0,29.2,11.2,287.1,1012,54.1,24.1,216,0.8,2,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T20:00:00,20.9,20.9,9.3,47.22,0,6.5,,0,0,29.2,11.8,282.8,1012.7,69.4,24.1,61,0.2,1,10,Partially cloudy,partly-cloudy-day,
"London,UK",2024-08-17T21:00:00,19.8,19.8,10,53.07,0,6.5,,0,0,29.2,12.4,278.4,1013.3,84.7,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-17T22:00:00,18.7,18.7,10.7,59.68,0,6.5,,0,0,29.2,13,274.1,1014,100,24.1,0,0,0,10,Overcast,cloudy,
"London,UK",2024-08-17T23:00:00,17.7,17.7,10.7,63.55,0,6.5,,0,0,25.2,10.8,269.3,1014.3,77.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T00:00:00,16.7,16.7,10.7,67.7,0,6.5,,0,0,21.2,8.6,264.4,1014.7,54.7,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T01:00:00,15.7,15.7,10.7,72.15,0,6.5,,0,0,17.3,6.5,259.6,1015,32,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T02:00:00,15.1,15.1,10.6,74.34,0,3.2,,0,0,16.7,6.5,258.4,1015.3,39.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T03:00:00,14.6,14.6,10.5,76.59,0,3.2,,0,0,16.1,6.5,257.3,1015.7,46.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T04:00:00,14.1,14.1,10.5,78.93,0,3.2,,0,0,15.5,6.5,256.1,1016,53.8,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
"London,UK",2024-08-18T05:00:00,15.2,15.2,8.7,65.15,0,3.2,,0,0,14,7.9,263.9,1015,0.6,24.1,0,0,0,10,Clear,clear-night,
